waktu;posisi;volume_kendaraan_lolos;kapaistas_jalan;derajat_kejenuhan;red_detik;level_of_service
07:00-08:00;Timur;964;2617;0,368360718;286;0
07:00-08:00;Barat;689;2671;0,257955822;286;0
07:00-08:00;Utara;1592;2514;0,633253779;286;0
07:00-08:00;Selatan;1581;943;1,676564157;286;1
07:15-08:15;Timur;1030;2671;0,385623362;286;0
07:15-08:15;Barat;664;2671;0,248596031;286;0
07:15-08:15;Utara;1894;2514;0,753381066;286;1
07:15-08:15;Selatan;1626;943;1,724284199;286;1
07:30-08:30;Timur;992;2671;0,371396481;286;0
07:30-08:30;Barat;612;2671;0,229127668;286;0
07:30-08:30;Utara;2070;2514;0,823389021;286;1
07:30-08:30;Selatan;1589;943;1,68504772;286;1
07:45-08:45;Timur;941;2671;0,352302508;286;0
07:45-08:45;Barat;548;2671;0,205166604;286;0
07:45-08:45;Utara;2067;2514;0,822195704;286;1
07:45-08:45;Selatan;1530;943;1,622481442;286;1
08:00-09:00;Timur;893;2671;0,334331711;286;0
08:00-09:00;Barat;472;2671;0,176712842;286;0
08:00-09:00;Utara;1714;2514;0,681782021;286;0
08:00-09:00;Selatan;1527;943;1,619300106;286;1
12:00-13:00;Timur;598;2671;0,223886185;286;0
12:00-13:00;Barat;293;2671;0,109696743;286;0
12:00-13:00;Utara;1054;2514;0,419252188;286;0
12:00-13:00;Selatan;1124;943;1,191940615;286;1
12:15-13:15;Timur;584;2671;0,218644702;286;0
12:15-13:15;Barat;305;2671;0,114189442;286;0
12:15-13:15;Utara;1161;2514;0,461813842;286;0
12:15-13:15;Selatan;1225;943;1,299045599;286;1
12:30-13:30;Timur;573;2671;0,214526395;286;0
12:30-13:30;Barat;299;2671;0,111943092;286;0
12:30-13:30;Utara;1199;2514;0,476929196;286;0
12:30-13:30;Selatan;1281;943;1,358430541;286;1
12:45-13:45;Timur;610;2671;0,228378884;286;0
12:45-13:45;Barat;295;2671;0,110445526;286;0
12:45-13:45;Utara;1176;2514;0,46778043;286;0
12:45-13:45;Selatan;1261;943;1,337221633;286;1
13:00-14:00;Timur;624;2671;0,233620367;286;0
13:00-14:00;Barat;297;2671;0,111194309;286;0
13:00-14:00;Utara;1018;2514;0,404932379;286;0
13:00-14:00;Selatan;1240;943;1,31495228;286;1
15:00-16:00;Timur;686;2671;0,256832647;286;0
15:00-16:00;Barat;243;2671;0,090977162;286;0
15:00-16:00;Utara;915;2514;0,363961814;286;0
15:00-16:00;Selatan;1426;943;1,512195122;286;1
15:15-16:15;Timur;738;2671;0,276301011;286;0
15:15-16:15;Barat;234;2671;0,087607638;286;0
15:15-16:15;Utara;900;2514;0,357995227;286;0
15:15-16:15;Selatan;1439;943;1,525980912;286;1
15:30-16:30;Timur;728;2671;0,272557095;286;0
15:30-16:30;Barat;221;2671;0,082740547;286;0
15:30-16:30;Utara;946;2514;0,376292761;286;0
15:30-16:30;Selatan;1442;943;1,529162248;286;1
15:45-16:45;Timur;690;2671;0,258330213;286;0
15:45-16:45;Barat;202;2671;0,075627106;286;0
15:45-16:45;Utara;935;2514;0,371917263;286;0
15:45-16:45;Selatan;1431;943;1,517497349;286;1
16:00-17:00;Timur;611;2671;0,228753276;286;0
16:00-17:00;Barat;207;2671;0,077499064;286;0
16:00-17:00;Utara;924;2514;0,367541766;286;0
16:00-17:00;Selatan;1411;943;1,496288441;286;1
07:00-08:00;Timur;997;2617;0,380970577;286;0
07:00-08:00;Barat;785;2671;0,293897417;286;0
07:00-08:00;Utara;1800;2514;0,715990453;286;0
07:00-08:00;Selatan;1500;943;1,590668081;286;1
07:15-08:15;Timur;987;2671;0,369524523;286;0
07:15-08:15;Barat;556;2671;0,208161737;286;0
07:15-08:15;Utara;1765;2514;0,702068417;286;0
07:15-08:15;Selatan;1234;943;1,308589608;286;1
07:30-08:30;Timur;534;2671;0,199925122;286;0
07:30-08:30;Barat;599;2671;0,224260577;286;0
07:30-08:30;Utara;2001;2514;0,795942721;286;1
07:30-08:30;Selatan;1299;943;1,377518558;286;1
07:45-08:45;Timur;879;2671;0,329090228;286;0
07:45-08:45;Barat;5002;2671;1,872706851;286;1
07:45-08:45;Utara;1998;2514;0,794749403;286;1
07:45-08:45;Selatan;1492;943;1,582184517;286;1
08:00-09:00;Timur;893;2671;0,334331711;286;0
08:00-09:00;Barat;563;2671;0,210782478;286;0
08:00-09:00;Utara;1872;2514;0,744630072;286;0
08:00-09:00;Selatan;1501;943;1,591728526;286;1
12:00-13:00;Timur;600;2671;0,224634968;286;0
12:00-13:00;Barat;287;2671;0,107450393;286;0
12:00-13:00;Utara;986;2514;0,39220366;286;0
12:00-13:00;Selatan;1119;943;1,186638388;286;1
12:15-13:15;Timur;498;2671;0,186447024;286;0
12:15-13:15;Barat;298;2671;0,111568701;286;0
12:15-13:15;Utara;1098;2514;0,436754177;286;0
12:15-13:15;Selatan;1225;943;1,299045599;286;1
12:30-13:30;Timur;573;2671;0,214526395;286;0
12:30-13:30;Barat;299;2671;0,111943092;286;0
12:30-13:30;Utara;1199;2514;0,476929196;286;0
12:30-13:30;Selatan;1281;943;1,358430541;286;1
12:45-13:45;Timur;610;2671;0,228378884;286;0
12:45-13:45;Barat;295;2671;0,110445526;286;0
12:45-13:45;Utara;1176;2514;0,46778043;286;0
12:45-13:45;Selatan;1261;943;1,337221633;286;1
13:00-14:00;Timur;624;2671;0,233620367;286;0
13:00-14:00;Barat;297;2671;0,111194309;286;0
13:00-14:00;Utara;1018;2514;0,404932379;286;0
13:00-14:00;Selatan;1240;943;1,31495228;286;1
15:00-16:00;Timur;686;2671;0,256832647;286;0
15:00-16:00;Barat;243;2671;0,090977162;286;0
15:00-16:00;Utara;915;2514;0,363961814;286;0
15:00-16:00;Selatan;1426;943;1,512195122;286;1
15:15-16:15;Timur;738;2671;0,276301011;286;0
15:15-16:15;Barat;234;2671;0,087607638;286;0
15:15-16:15;Utara;900;2514;0,357995227;286;0
15:15-16:15;Selatan;1439;943;1,525980912;286;1
15:30-16:30;Timur;728;2671;0,272557095;286;0
15:30-16:30;Barat;221;2671;0,082740547;286;0
15:30-16:30;Utara;946;2514;0,376292761;286;0
15:30-16:30;Selatan;1442;943;1,529162248;286;1
15:45-16:45;Timur;650;2671;0,243354549;286;0
15:45-16:45;Barat;202;2671;0,075627106;286;0
15:45-16:45;Utara;935;2514;0,371917263;286;0
15:45-16:45;Selatan;1431;943;1,517497349;286;1
16:00-17:00;Timur;597;2671;0,223511793;286;0
16:00-17:00;Barat;200;2671;0,074878323;286;0
16:00-17:00;Utara;925;2514;0,367939539;286;0
16:00-17:00;Selatan;1400;943;1,484623542;286;1
07.00-08.00;timur;611;2671;0,228753276;286;0
07.00-08.00;barat;207;2671;0,077499064;286;0
07.00-08.00;utara;924;2514;0,367541766;286;0
